indice_tiempo,captura
2010-01,22156597
2010-02,51080789
2010-03,67141097
2010-04,57085862
2010-05,80575111
2010-06,58672173
2010-07,77957945
2010-08,75804907
2010-09,85087810
2010-10,73102794
2010-11,56341181
2010-12,59648433
2011-01,27533645
2011-02,66580408
2011-03,67612953
2011-04,68549259
2011-05,55244686
2011-06,74694336
2011-07,62679771
2011-08,71616462
2011-09,68269375
2011-10,65807527
2011-11,60099673
2011-12,45178657
2012-01,28872934
2012-02,71670037
2012-03,82562589
2012-04,59721166
2012-05,59347254
2012-06,35703268
2012-07,48076919
2012-08,59728074
2012-09,77336627
2012-10,60603564
2012-11,60031983
2012-12,48608157
2013-01,34939844
2013-02,73094970
2013-03,68754703
2013-04,97513858
2013-05,77288089
2013-06,85761443
2013-07,75246089
2013-08,64162900
2013-09,72249540
2013-10,72520057
2013-11,54405399
2013-12,48208218
2014-01,24180912
2014-02,70245843
2014-03,85912169
2014-04,74116398
2014-05,98148395
2014-06,71086748
2014-07,58971196
2014-08,56549558
2014-09,61290311
2014-10,75561134
2014-11,65136997
2014-12,49908345
2015-01,26276896
2015-02,66301883
2015-03,89882318
2015-04,72807128
2015-05,86553263
2015-06,53663857
2015-07,64661747
2015-08,61934973
2015-09,68780034
2015-10,68211488
2015-11,65741898
2015-12,42887007
2016-01,27119613
2016-02,63345268
2016-03,53022103
2016-04,62321759
2016-05,57184180
2016-06,66792514
2016-07,66708405
2016-08,75001392
2016-09,59563079
2016-10,75256347
2016-11,47416789
2016-12,51993472
2017-01,51748274
2017-02,87220553
2017-03,74992480
2017-04,53076785
2017-05,61406066
2017-06,66061962
2017-07,69995522
2017-08,66461192
2017-09,71838994
2017-10,68375787
2017-11,59944204
2017-12,47876912
2018-01,69291579
2018-02,83020825
2018-03,70540834
2018-04,51638342
2018-05,49795618
2018-06,56109281
2018-07,66902064
2018-08,80465145
2018-09,74270909
2018-10,83210228
2018-11,53930857
2018-12,52460431
2019-01,80357188
2019-02,81785929
2019-03,59883186
2019-04,61692998
2019-05,56556905
2019-06,67754981
2019-07,68607161
2019-08,75976135
2019-09,48729604
2019-10,66517855
2019-11,10861924
