indice_tiempo,produccion_carne_miles_tn
2010-01,124.90
2010-02,119.60
2010-03,137.20
2010-04,133.40
2010-05,127.00
2010-06,142.90
2010-07,141.80
2010-08,138.50
2010-09,146.40
2010-10,135.00
2010-11,149.60
2010-12,155.70
2011-01,140.00
2011-02,133.50
2011-03,151.80
2011-04,151.40
2011-05,158.80
2011-06,156.10
2011-07,148.60
2011-08,159.20
2011-09,160.80
2011-10,154.10
2011-11,165.60
2011-12,172.20
2012-01,161.10
2012-02,139.90
2012-03,174.80
2012-04,151.80
2012-05,178.40
2012-06,166.70
2012-07,168.60
2012-08,178.30
2012-09,161.00
2012-10,188.40
2012-11,168.00
2012-12,158.90
2013-01,164.60
2013-02,145.90
2013-03,166.80
2013-04,172.90
2013-05,182.60
2013-06,160.10
2013-07,188.30
2013-08,174.40
2013-09,163.90
2013-10,176.50
2013-11,162.50
2013-12,165.40
2014-01,166.40
2014-02,147.10
2014-03,158.80
2014-04,168.90
2014-05,174.00
2014-06,165.30
2014-07,182.70
2014-08,169.40
2014-09,185.60
2014-10,184.70
2014-11,164.50
2014-12,182.30
2015-01,178.60
2015-02,159.60
2015-03,175.90
2015-04,183.00
2015-05,169.50
2015-06,186.90
2015-07,187.50
2015-08,167.90
2015-09,178.00
2015-10,172.50
2015-11,159.20
2015-12,174.10
2016-01,152.90
2016-02,141.10
2016-03,171.90
2016-04,166.80
2016-05,174.60
2016-06,181.70
2016-07,173.30
2016-08,187.20
2016-09,176.80
2016-10,168.90
2016-11,178.20
2016-12,181.50
2017-01,172.90
2017-02,152.20
2017-03,191.60
2017-04,170.80
2017-05,186.10
2017-06,188.30
2017-07,182.70
2017-08,184.40
2017-09,165.30
2017-10,178.10
2017-11,178.00
2017-12,165.30
2018-01,164.80
2018-02,143.20
2018-03,174.80
2018-04,172.90
2018-05,182.20
2018-06,168.70
2018-07,182.00
2018-08,185.60
2018-09,158.50
2018-10,183.70
2018-11,179.50
2018-12,173.30
2019-01,187.20
2019-02,158.73
2019-03,168.29
2019-04,178.40
2019-05,194.64
2019-06,171.48
2019-07,201.03
2019-08,193.10
2019-09,178.59
2019-10,196.44
2019-11,183.52
2019-12,191.29
2020-01,195.78
2020-02,166.17
2020-03,179.30
2020-04,200.58
2020-05,179.36
2020-06,183.85
