planta,cuit,empresa,direccion,aglomeracion_urbana,departamento,provincia,resolucion,hab_res419,hab_res1102,geojson
PLANTA YACIMIENTO MEDANITO ESTE,30-71215690-9,REFI PAMPA S.A.,RUTA 151. YACIMIENTO MEDANITO,,Puelén,LA PAMPA,RES1102 y RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Elaboradora de combustibles por procesos de refinacion secundaria a partir de cortes de hidrocarburos"",""Elaboradora de solventes y aguarrases""",Refinería,"{""type"":""Point"",""coordinates"":[-67.811654405178,-38.0319070591906]}"
LUJÁN DE CUYO,30-54668997-9,YPF S.A.,RUTA PROVINCIAL 87 - PARQUE INDUSTRIAL,,Luján de Cuyo,MENDOZA,RES1102 y RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Elaboradora de combustibles por procesos de refinacion secundaria a partir de cortes de hidrocarburos"",""Elaboradora de lubricantes, grasas y aditivos"",""Elaboradora de solventes y aguarrases"",""Productora de gasolina a partir de la separacion del gas natural""",Refinería,"{""type"":""Point"",""coordinates"":[-68.975963,-33.066344]}"
DOCK SUD,30-50672680-4,RAIZEN ARGENTINA S.A.U. (ex RAIZEN ARGENTINA S.A.),SARGENTO PONCE 2318,GRAN BUENOS AIRES,Avellaneda,BUENOS AIRES,RES1102 y RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Elaboradora de combustibles por procesos de refinacion secundaria a partir de cortes de hidrocarburos"",""Elaboradora de lubricantes, grasas y aditivos"",""Elaboradora de solventes y aguarrases""",Refinería,"{""type"":""Point"",""coordinates"":[-58.335471,-34.6531211]}"
DOCK SUD,30-55025533-9,DEST. ARG. DE PETROLEO S.A.,SARGENTO PONCE S/N,GRAN BUENOS AIRES,Avellaneda,BUENOS AIRES,RES1102 y RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Elaboradora de combustibles por procesos de refinacion secundaria a partir de cortes de hidrocarburos"",""Elaboradora de lubricantes, grasas y aditivos""",Elaboradora,"{""type"":""Point"",""coordinates"":[-58.32338,-34.6622771]}"
CAMPO DURAN,30-65823369-2,REFINOR S.A.,RUTA PROVINCIAL 54 KM 7,CAMPO DURAN,General José de San Martín,SALTA,RES1102 y RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Productora de gasolina a partir de la separacion del gas natural""",Refinería,"{""type"":""Point"",""coordinates"":[-63.662647,-22.204684]}"
NEUQUÉN,30-68452184-1,FOX PETROL S.A.,RUTA NACIONAL 22 KM 1253 - PARQUE INDUSTRIAL SENILLOSA,,Confluencia,NEUQUEN,RES1102 y RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Elaboradora de combustibles por procesos de refinacion secundaria a partir de cortes de hidrocarburos"",""Elaboradora de solventes y aguarrases""",Refinería,"{""type"":""Point"",""coordinates"":[-68.42536,-38.99938]}"
GENERAL RODRIGUEZ,,,RUTA PROVINCIAL 24 KM 45,,General Rodríguez,BUENOS AIRES,RES1102 y RES419,,,"{""type"":""Point"",""coordinates"":[-58.94543,-34.659531]}"
RAMALLO,30-70841925-3,PETROLERA DEGAB S.A.,ING. AGUSTÍN ROCA S/N,,Ramallo,BUENOS AIRES,RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Recuperadora de combustibles y/o productos derivados de hidrocarburos a partir de desechos, efluentes o productos contaminados""",,"{""type"":""Point"",""coordinates"":[-60.135315,-33.392925]}"
CAMPANA,30-69554247-6,PAN AMERICAN ENERGY SL - SUCURSAL ARGENTINA,EMILIO MITRE 574,,Campana,BUENOS AIRES,RES1102 y RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Elaboradora de combustibles por procesos de refinacion secundaria a partir de cortes de hidrocarburos"",""Elaboradora de lubricantes, grasas y aditivos"",""Elaboradora de solventes y aguarrases""",Refinería,"{""type"":""Point"",""coordinates"":[-58.94625,-34.159797]}"
ELICABE,30-71588559-6,REFINERÍA BAHÍA BLANCA S.A.U.,AV. COLÓN 2976,,Bahía Blanca,BUENOS AIRES,RES1102 y RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Elaboradora de combustibles por procesos de refinacion secundaria a partir de cortes de hidrocarburos"",""Recuperadora de combustibles y/o productos derivados de hidrocarburos a partir de desechos, efluentes o productos contaminados""",Refinería,"{""type"":""Point"",""coordinates"":[-62.296021,-38.744883]}"
LUJAN DE CUYO,,,CERRO SANTA ELENA S/N - PARQUE INDUSTRIAL,,Luján de Cuyo,MENDOZA,RES1102 y RES419,,Refinería,"{""type"":""Point"",""coordinates"":[-68.994151,-33.068116]}"
FATIMA,30-71051483-2,NUEVA ENERGÍA ARGENTINA S.A.,"PRESIDENTE DOMINGO FAUSTINO SARMIENTO (CALLE 5) 1625, FATIMA, PILAR",GRAN BUENOS AIRES,Pilar,BUENOS AIRES,RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Recuperadora de combustibles y/o productos derivados de hidrocarburos a partir de desechos, efluentes o productos contaminados""",,"{""type"":""Point"",""coordinates"":[-58.96854402487,-34.4203945099624]}"
PLAZA HUINCUL,30-54668997-9,YPF S.A.,RUTA NACIONAL 22 - PARQUE INDUSTRIAL,PLAZA HUINCUL,Confluencia,NEUQUEN,RES1102 y RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Elaboradora de combustibles por procesos de refinacion secundaria a partir de cortes de hidrocarburos"",""Elaboradora de lubricantes, grasas y aditivos"",""Elaboradora de solventes y aguarrases"",""Productora de gasolina a partir de la separacion del gas natural""",Refinería,"{""type"":""Point"",""coordinates"":[-69.185727,-38.9271751]}"
SAN LORENZO,30-54668997-9,YPF S.A.,RUTA PROVINCIAL 11 KM 331,GRAN ROSARIO,San Lorenzo,SANTA FE,RES1102 y RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Elaboradora de combustibles por procesos de refinacion secundaria a partir de cortes de hidrocarburos"",""Elaboradora de lubricantes, grasas y aditivos"",""Elaboradora de solventes y aguarrases"",""Productora de gasolina a partir de la separacion del gas natural""",Refinería,"{""type"":""Point"",""coordinates"":[-60.742915,-32.72762]}"
LA PLATA,30-54668997-9,YPF S.A.,BARADERO S/N,GRAN BUENOS AIRES,Berisso,BUENOS AIRES,RES1102 y RES419,"""Elaboradora de combustibles a partir de la refinacion de petroleo crudo"",""Elaboradora de combustibles por procesos de refinacion secundaria a partir de cortes de hidrocarburos"",""Elaboradora de lubricantes, grasas y aditivos"",""Elaboradora de solventes y aguarrases"",""Productora de gasolina a partir de la separacion del gas natural""",Elaboradora,"{""type"":""Point"",""coordinates"":[-57.913081,-34.889243]}"
