pais_id;pais;provincia_id;provincia;campaña;tipo de tabaco;superficie_plantada;superficie_cosechada;unidad_sup_id;unidad_superficie;produccion;unidad_prod_id;unidad_produccion;rendimiento;unidad_rendimiento;precio_acopio;precio_fet;precio_total;precio_moneda_id;precio_moneda;unidad_precio
032;Argentina;10;Catamarca;1986/1987;burley;948;948;ha;hectarea;1433118;kg;kilogramo;1512;kilogramos/hectarea;1.32;1.32;2.64;s/d;pesos australes;pesos/kilogramos
032;Argentina;10;Catamarca;1986/1987;criollo s.;300;300;ha;hectarea;483188;kg;kilogramo;1611;kilogramos/hectarea;0.7;0.7;1.39;s/d;pesos australes;pesos/kilogramos
032;Argentina;10;Catamarca;1987/1988;burley;610;610;ha;hectarea;913230;kg;kilogramo;1497;kilogramos/hectarea;4;4.04;8.04;s/d;pesos australes;pesos/kilogramos
032;Argentina;10;Catamarca;1987/1988;criollo s.;215;215;ha;hectarea;379431;kg;kilogramo;1765;kilogramos/hectarea;3.61;3.64;7.25;s/d;pesos australes;pesos/kilogramos
032;Argentina;10;Catamarca;1988/1989;burley;1310;1191;ha;hectarea;1167102;kg;kilogramo;980;kilogramos/hectarea;20.03;42.54;62.57;s/d;pesos australes;pesos/kilogramos
032;Argentina;10;Catamarca;1988/1989;criollo s.;265;238;ha;hectarea;388907;kg;kilogramo;1634;kilogramos/hectarea;321.29;321.29;642.58;s/d;pesos australes;pesos/kilogramos
032;Argentina;10;Catamarca;1989/1990;burley;1308;1189;ha;hectarea;880511;kg;kilogramo;741;kilogramos/hectarea;2998.82;1999.21;4998.03;s/d;pesos australes;pesos/kilogramos
032;Argentina;10;Catamarca;1989/1990;criollo s.;153;138;ha;hectarea;147323;kg;kilogramo;1068;kilogramos/hectarea;3462.93;2309.2;5772.13;s/d;pesos australes;pesos/kilogramos
032;Argentina;10;Catamarca;1990/1991;burley;1320;1200;ha;hectarea;1650214;kg;kilogramo;1375;kilogramos/hectarea;14799;9866;24665;s/d;pesos australes;pesos/kilogramos
032;Argentina;10;Catamarca;1990/1991;criollo s.;187;168;ha;hectarea;195863;kg;kilogramo;1166;kilogramos/hectarea;7404;4936;12340;s/d;pesos australes;pesos/kilogramos
